Project,Package,Module,Class,Smell,Method,Line no,File,Description
backend,backend.goals.roadmap.tests,test_roadmap_api,,Long statement,_create_user_with_preferences,17,C:\Users\Adity\Downloads\group02\backend\goals\roadmap\tests\test_roadmap_api.py,A line with 136 chars in _create_user_with_preferences exceeds the maximum length of 120 characters.
backend,backend.goals.roadmap.tests,test_roadmap_api,,Long statement,test_save_prefs_200,158,C:\Users\Adity\Downloads\group02\backend\goals\roadmap\tests\test_roadmap_api.py,A line with 189 chars in test_save_prefs_200 exceeds the maximum length of 120 characters.
backend,backend.goals.roadmap.tests,test_roadmap_api,,Long statement,test_save_prefs_returns_data,181,C:\Users\Adity\Downloads\group02\backend\goals\roadmap\tests\test_roadmap_api.py,A line with 185 chars in test_save_prefs_returns_data exceeds the maximum length of 120 characters.
backend,backend.notifications.models,notification,Notification,Long statement,to_dict,17,C:\Users\Adity\Downloads\group02\backend\notifications\models\notification.py,A line with 174 chars in to_dict exceeds the maximum length of 120 characters.
backend,backend.notifications.routers,notifications,,Long statement,trigger_notification_check,54,C:\Users\Adity\Downloads\group02\backend\notifications\routers\notifications.py,A line with 182 chars in trigger_notification_check exceeds the maximum length of 120 characters.
backend,backend.notifications.services,notification_service,,Long statement,build_email_html,26,C:\Users\Adity\Downloads\group02\backend\notifications\services\notification_service.py,A line with 1144 chars in build_email_html exceeds the maximum length of 120 characters.
backend,backend.notifications.services,reminder_service,,Long statement,_notify_task_group,72,C:\Users\Adity\Downloads\group02\backend\notifications\services\reminder_service.py,A line with 145 chars in _notify_task_group exceeds the maximum length of 120 characters.
backend,backend.notifications.services,reminder_service,,Long statement,_fetch_upcoming_tasks,84,C:\Users\Adity\Downloads\group02\backend\notifications\services\reminder_service.py,A line with 159 chars in _fetch_upcoming_tasks exceeds the maximum length of 120 characters.
backend,backend.notifications.services,reminder_service,,Long statement,_log_notification_summary,115,C:\Users\Adity\Downloads\group02\backend\notifications\services\reminder_service.py,A line with 121 chars in _log_notification_summary exceeds the maximum length of 120 characters.
backend,backend.notifications.services,reminder_service,,Long statement,check_upcoming_deadlines,127,C:\Users\Adity\Downloads\group02\backend\notifications\services\reminder_service.py,A line with 325 chars in check_upcoming_deadlines exceeds the maximum length of 120 characters.
backend,backend.notifications.tests.notification,test_notification_router,,Long statement,_make_notification,45,C:\Users\Adity\Downloads\group02\backend\notifications\tests\notification\test_notification_router.py,A line with 227 chars in _make_notification exceeds the maximum length of 120 characters.
backend,backend.notifications.tests.notification,test_notification_router,,Long statement,_make_notification,50,C:\Users\Adity\Downloads\group02\backend\notifications\tests\notification\test_notification_router.py,A line with 165 chars in _make_notification exceeds the maximum length of 120 characters.
backend,backend.notifications.tests.notification,test_notification_router,,Long statement,test_get_returns_notifications,95,C:\Users\Adity\Downloads\group02\backend\notifications\tests\notification\test_notification_router.py,A line with 151 chars in test_get_returns_notifications exceeds the maximum length of 120 characters.
backend,backend.notifications.tests.notification,test_notification_router,,Long statement,,1,C:\Users\Adity\Downloads\group02\backend\notifications\tests\notification\test_notification_router.py,A line with 152 chars in test_notification_router exceeds the maximum length of 120 characters.
backend,backend.notifications.tests.reminder,test_reminder_triggers,,Long statement,test_overdue_message_has_title,138,C:\Users\Adity\Downloads\group02\backend\notifications\tests\reminder\test_reminder_triggers.py,A line with 126 chars in test_overdue_message_has_title exceeds the maximum length of 120 characters.
backend,backend.onboarding.models,user_preference_model,UserPreference,Long statement,to_dict,16,C:\Users\Adity\Downloads\group02\backend\onboarding\models\user_preference_model.py,A line with 189 chars in to_dict exceeds the maximum length of 120 characters.
backend,backend.onboarding.routers,onboarding_router,,Long statement,save_preferences,19,C:\Users\Adity\Downloads\group02\backend\onboarding\routers\onboarding_router.py,A line with 135 chars in save_preferences exceeds the maximum length of 120 characters.
backend,backend.onboarding.routers,onboarding_router,,Long statement,get_roadmap,39,C:\Users\Adity\Downloads\group02\backend\onboarding\routers\onboarding_router.py,A line with 142 chars in get_roadmap exceeds the maximum length of 120 characters.
backend,backend.onboarding.routers,onboarding_router,,Long statement,get_roadmap,52,C:\Users\Adity\Downloads\group02\backend\onboarding\routers\onboarding_router.py,A line with 161 chars in get_roadmap exceeds the maximum length of 120 characters.
backend,backend.onboarding.services,preference_service,PreferenceService,Long statement,save_preferences,13,C:\Users\Adity\Downloads\group02\backend\onboarding\services\preference_service.py,A line with 136 chars in save_preferences exceeds the maximum length of 120 characters.
backend,backend.onboarding.services,preference_service,PreferenceService,Long statement,save_preferences_with_roadmap,42,C:\Users\Adity\Downloads\group02\backend\onboarding\services\preference_service.py,A line with 161 chars in save_preferences_with_roadmap exceeds the maximum length of 120 characters.
backend,backend.onboarding.tests,test_onboarding_router,,Long message chain,test_pref_200_valid,83,C:\Users\Adity\Downloads\group02\backend\onboarding\tests\test_onboarding_router.py,"A long message chain has 4 attributes/calls chained together, more than the recommended 3 in the following statement: mock_pref_cls.return_value.save_preferences_with_roadmap.return_value = make_pref_response()."
backend,backend.onboarding.tests,test_onboarding_router,,Long message chain,test_pref_has_roadmap,92,C:\Users\Adity\Downloads\group02\backend\onboarding\tests\test_onboarding_router.py,"A long message chain has 4 attributes/calls chained together, more than the recommended 3 in the following statement: mock_pref_cls.return_value.save_preferences_with_roadmap.return_value = make_pref_response()."
backend,backend.onboarding.tests,test_onboarding_router,,Long message chain,test_pref_roadmap_list,101,C:\Users\Adity\Downloads\group02\backend\onboarding\tests\test_onboarding_router.py,"A long message chain has 4 attributes/calls chained together, more than the recommended 3 in the following statement: mock_pref_cls.return_value.save_preferences_with_roadmap.return_value = make_pref_response()."
backend,backend.onboarding.tests,test_onboarding_router,,Long message chain,test_roadmap_200_found,140,C:\Users\Adity\Downloads\group02\backend\onboarding\tests\test_onboarding_router.py,"A long message chain has 4 attributes/calls chained together, more than the recommended 3 in the following statement: mock_roadmap_cls.return_value.generate_roadmap.return_value = [{'phase': 'Month 1', 'steps': ['Step A']}]."
backend,backend.onboarding.tests,test_onboarding_router,,Long message chain,test_roadmap_has_list,150,C:\Users\Adity\Downloads\group02\backend\onboarding\tests\test_onboarding_router.py,"A long message chain has 4 attributes/calls chained together, more than the recommended 3 in the following statement: mock_roadmap_cls.return_value.generate_roadmap.return_value = [{'phase': 'Month 1', 'steps': ['Step A']}]."
backend,backend.onboarding.tests,test_onboarding_router,,Long statement,make_pref_response,53,C:\Users\Adity\Downloads\group02\backend\onboarding\tests\test_onboarding_router.py,A line with 212 chars in make_pref_response exceeds the maximum length of 120 characters.
backend,backend.onboarding.tests,test_onboarding_router,,Long statement,,1,C:\Users\Adity\Downloads\group02\backend\onboarding\tests\test_onboarding_router.py,A line with 170 chars in test_onboarding_router exceeds the maximum length of 120 characters.
backend,backend.onboarding.tests,test_preference_service,,Long statement,sample_data,30,C:\Users\Adity\Downloads\group02\backend\onboarding\tests\test_preference_service.py,A line with 145 chars in sample_data exceeds the maximum length of 120 characters.
backend,backend.replan.check,service,,Long statement,check_goal_needs_replan,15,C:\Users\Adity\Downloads\group02\backend\replan\check\service.py,A line with 190 chars in check_goal_needs_replan exceeds the maximum length of 120 characters.
backend,backend.replan.check,service,,Long statement,check_goal_needs_replan,23,C:\Users\Adity\Downloads\group02\backend\replan\check\service.py,A line with 138 chars in check_goal_needs_replan exceeds the maximum length of 120 characters.
backend,backend.replan.check,service,,Long statement,check_goal_needs_replan,46,C:\Users\Adity\Downloads\group02\backend\replan\check\service.py,A line with 172 chars in check_goal_needs_replan exceeds the maximum length of 120 characters.
backend,backend.replan.check.tests,test_check_replan,,Long statement,test_red_needs_replan_true,65,C:\Users\Adity\Downloads\group02\backend\replan\check\tests\test_check_replan.py,A line with 144 chars in test_red_needs_replan_true exceeds the maximum length of 120 characters.
backend,backend.replan.check.tests,test_check_replan,,Long statement,test_green_missed_count,116,C:\Users\Adity\Downloads\group02\backend\replan\check\tests\test_check_replan.py,A line with 149 chars in test_green_missed_count exceeds the maximum length of 120 characters.
backend,backend.replan.detect,service,,Long statement,detect_missed_tasks,11,C:\Users\Adity\Downloads\group02\backend\replan\detect\service.py,A line with 138 chars in detect_missed_tasks exceeds the maximum length of 120 characters.
backend,backend.replan.detect.tests,test_detect_missed,,Long statement,test_red_pending_overdue,41,C:\Users\Adity\Downloads\group02\backend\replan\detect\tests\test_detect_missed.py,A line with 127 chars in test_red_pending_overdue exceeds the maximum length of 120 characters.
backend,backend.replan.goal,service,,Long statement,_generate_replan_tasks_or_502,92,C:\Users\Adity\Downloads\group02\backend\replan\goal\service.py,A line with 199 chars in _generate_replan_tasks_or_502 exceeds the maximum length of 120 characters.
backend,backend.replan.goal,service,,Long statement,_log_adjustment,127,C:\Users\Adity\Downloads\group02\backend\replan\goal\service.py,A line with 322 chars in _log_adjustment exceeds the maximum length of 120 characters.
backend,backend.replan.goal,service,,Long statement,_generate_all_new_tasks,158,C:\Users\Adity\Downloads\group02\backend\replan\goal\service.py,A line with 232 chars in _generate_all_new_tasks exceeds the maximum length of 120 characters.
backend,backend.replan.goal,service,,Long statement,_delete_future_pending_tasks,185,C:\Users\Adity\Downloads\group02\backend\replan\goal\service.py,A line with 125 chars in _delete_future_pending_tasks exceeds the maximum length of 120 characters.
backend,backend.replan.goal,service,,Long statement,replan_goal,254,C:\Users\Adity\Downloads\group02\backend\replan\goal\service.py,A line with 179 chars in replan_goal exceeds the maximum length of 120 characters.
backend,backend.replan.goal,service,,Long statement,replan_goal,262,C:\Users\Adity\Downloads\group02\backend\replan\goal\service.py,A line with 175 chars in replan_goal exceeds the maximum length of 120 characters.
backend,backend.replan.goal,service,,Long statement,replan_goal,272,C:\Users\Adity\Downloads\group02\backend\replan\goal\service.py,A line with 286 chars in replan_goal exceeds the maximum length of 120 characters.
backend,backend.replan.goal,service,,Long statement,_generate_replan_tasks,303,C:\Users\Adity\Downloads\group02\backend\replan\goal\service.py,A line with 1329 chars in _generate_replan_tasks exceeds the maximum length of 120 characters.
backend,backend.replan.goal,service,,Long statement,_generate_explanation,361,C:\Users\Adity\Downloads\group02\backend\replan\goal\service.py,A line with 790 chars in _generate_explanation exceeds the maximum length of 120 characters.
backend,backend.replan.goal,service,,Long statement,generate_resume_tasks,474,C:\Users\Adity\Downloads\group02\backend\replan\goal\service.py,A line with 1177 chars in generate_resume_tasks exceeds the maximum length of 120 characters.
backend,backend.replan.goal,service,,Long statement,,1,C:\Users\Adity\Downloads\group02\backend\replan\goal\service.py,A line with 314 chars in service exceeds the maximum length of 120 characters.
backend,backend.replan.goal.tests,test_replan_goal,,Long statement,test_green_not_adjusted,89,C:\Users\Adity\Downloads\group02\backend\replan\goal\tests\test_replan_goal.py,A line with 122 chars in test_green_not_adjusted exceeds the maximum length of 120 characters.
backend,backend.replan.llm,service,,Long statement,generate_replan_tasks,110,C:\Users\Adity\Downloads\group02\backend\replan\llm\service.py,A line with 1329 chars in generate_replan_tasks exceeds the maximum length of 120 characters.
backend,backend.replan.llm,service,,Long statement,generate_replan_explanation,167,C:\Users\Adity\Downloads\group02\backend\replan\llm\service.py,A line with 790 chars in generate_replan_explanation exceeds the maximum length of 120 characters.
backend,backend.replan.llm.tests,test_replan_llm,,Long statement,test_generate_replan_tasks,117,C:\Users\Adity\Downloads\group02\backend\replan\llm\tests\test_replan_llm.py,A line with 238 chars in test_generate_replan_tasks exceeds the maximum length of 120 characters.
backend,backend.replan.routes,router,,Long statement,check_replan_status,33,C:\Users\Adity\Downloads\group02\backend\replan\routes\router.py,A line with 165 chars in check_replan_status exceeds the maximum length of 120 characters.
backend,backend.replan.routes,router,,Long statement,trigger_replan,54,C:\Users\Adity\Downloads\group02\backend\replan\routes\router.py,A line with 212 chars in trigger_replan exceeds the maximum length of 120 characters.
backend,backend.replan.routes,router,,Long statement,get_adjustment_history,81,C:\Users\Adity\Downloads\group02\backend\replan\routes\router.py,A line with 131 chars in get_adjustment_history exceeds the maximum length of 120 characters.
backend,backend.replan.routes,router,,Long statement,get_adjustment_history,87,C:\Users\Adity\Downloads\group02\backend\replan\routes\router.py,A line with 270 chars in get_adjustment_history exceeds the maximum length of 120 characters.
backend,backend.replan.routes.tests,test_replan_routes,,Long statement,test_red_check_delegates,73,C:\Users\Adity\Downloads\group02\backend\replan\routes\tests\test_replan_routes.py,A line with 123 chars in test_red_check_delegates exceeds the maximum length of 120 characters.
backend,backend.replan.routes.tests,test_replan_routes,,Long statement,test_refactor_check_no_query,189,C:\Users\Adity\Downloads\group02\backend\replan\routes\tests\test_replan_routes.py,A line with 123 chars in test_refactor_check_no_query exceeds the maximum length of 120 characters.
backend,backend.tests.schemas,test_chat_schemas,,Long statement,test_reply_resp_valid,100,C:\Users\Adity\Downloads\group02\backend\tests\schemas\test_chat_schemas.py,A line with 288 chars in test_reply_resp_valid exceeds the maximum length of 120 characters.
backend,backend.tests.schemas,test_chat_schemas,,Long statement,test_list_item_valid,121,C:\Users\Adity\Downloads\group02\backend\tests\schemas\test_chat_schemas.py,A line with 218 chars in test_list_item_valid exceeds the maximum length of 120 characters.
backend,backend.tests.schemas,test_chat_schemas,,Long statement,test_list_item_optional_none,134,C:\Users\Adity\Downloads\group02\backend\tests\schemas\test_chat_schemas.py,A line with 143 chars in test_list_item_optional_none exceeds the maximum length of 120 characters.
backend,backend.tests.schemas,test_chat_schemas,,Long statement,test_history_with_msgs,147,C:\Users\Adity\Downloads\group02\backend\tests\schemas\test_chat_schemas.py,A line with 284 chars in test_history_with_msgs exceeds the maximum length of 120 characters.
backend,backend.tests.utils,test_email_sender,,Long statement,test_send_email,9,C:\Users\Adity\Downloads\group02\backend\tests\utils\test_email_sender.py,A line with 416 chars in test_send_email exceeds the maximum length of 120 characters.
backend,backend.tests.utils,test_email_sender,,Long statement,test_send_email,31,C:\Users\Adity\Downloads\group02\backend\tests\utils\test_email_sender.py,A line with 165 chars in test_send_email exceeds the maximum length of 120 characters.
backend,backend.workflows,goal_creation_workflow,,Long statement,_create_goal_node,40,C:\Users\Adity\Downloads\group02\backend\workflows\goal_creation_workflow.py,A line with 182 chars in _create_goal_node exceeds the maximum length of 120 characters.
backend,backend.workflows,goal_creation_workflow,,Long statement,_generate_tasks_node,89,C:\Users\Adity\Downloads\group02\backend\workflows\goal_creation_workflow.py,A line with 209 chars in _generate_tasks_node exceeds the maximum length of 120 characters.
backend,backend.workflows,goal_creation_workflow,,Long statement,run_goal_creation_workflow,181,C:\Users\Adity\Downloads\group02\backend\workflows\goal_creation_workflow.py,A line with 191 chars in run_goal_creation_workflow exceeds the maximum length of 120 characters.
backend,backend.workflows,goal_creation_workflow,,Long statement,run_goal_creation_workflow,193,C:\Users\Adity\Downloads\group02\backend\workflows\goal_creation_workflow.py,A line with 230 chars in run_goal_creation_workflow exceeds the maximum length of 120 characters.
backend,backend.workflows,replan_workflow,,Long statement,_generate_tasks_node,59,C:\Users\Adity\Downloads\group02\backend\workflows\replan_workflow.py,A line with 300 chars in _generate_tasks_node exceeds the maximum length of 120 characters.
backend,backend.workflows,replan_workflow,,Long statement,run_replan_workflow,178,C:\Users\Adity\Downloads\group02\backend\workflows\replan_workflow.py,A line with 291 chars in run_replan_workflow exceeds the maximum length of 120 characters.
